GRB	BAT T90 [sec]
111123A	290.0
111121A	119
111117A	0.47
111109A	13.0
111107A	26.6
111103B	167
111103A	11.6
111029A	7.6
111026A	3.62
111022B	79.1
111022A	24.7
111020A	0.40
111018A	36
111016A	550
111008A	63.46
111005A	26
110928A	26.7
110921A	48.00
110915A	78.76
110827A	8.5
110820A	256
110818A	103
110808A	48
110801A	385
110731A	38.8
110726A	5.2
110719A	41.0
110715A	13.0
110709B	55.6
110709A	44.7
110625A	44.5
110610A	46.4
110530A	19.6
110521A	13.8
110520A	15.7
110519A	27.2
110503A	10.0
110422A	25.9
110420B	0.084
110420A	11.8
110414A	152.0
110412A	23.4
110411A	80.3
110407A	145
110402A	60.9
110319B	14.5
110319A	19.3
110318B	4.8
110318A	16.0
110315A	77
110312A	28.7
110305A	12.0
110223B	54.0
110223A	7.0
110213A	48.0
110212A	3.3
110210A	233
110208A	37.4
110207A	80.3
110205A	257
110201A	13.0
110128A	30.7
110119A	208
110112A	0.5
110107A	n/a
110106B	24.8
110106A	4.3
110102A	264
101225A	1088.0
101224A	0.2
101219B	34
101219A	0.6
101213A	135
101204A	n/a
101201A	n/a
101129A	0.35
101117B	5.2
101114A	>10
101030A	92.0
101024A	18.7
101023A	80.8
101020A	175.0
101017A	70.0
101011A	71.5
101008A	104
100928A	3.3
100924A	96.0
100917A	66
100915A	200
100906A	114.4
100905A	3.4
100904A	31.3
100902A	428.8
100901A	439
100823A	16.9
100816A	2.9
100814A	174.5
100807A	7.9
100805A	15.0
100802A	487
100728B	12.1
100728A	198.5
100727A	84
100725B	200
100725A	141
100724A	1.4
100719A	36.0
100704A	197.5
100702A	0.16
100628A	0.036
100625A	0.33
100621A	63.6
100619A	97.5
100615A	39
100614A	225
100606A	480
100526B	64.0
100526A	102
100522A	35.3
100514A	n/a
100513A	84
100508A	52
100504A	97.3
100427A	n/a
100425A	37.0
100424A	104
100423A	n/a
100420A	48
100418A	7.0
100413B	n/a
100413A	191
100401A	n/a
100324A	~6
100316D	n/a
100316C	9.3
100316B	3.8
100316A	7.0
100305A	69.7
100302A	17.9
100224A	n/a
100219A	18.8
100216A	n/a
100213B	48.0
100213A	2.4
100212A	136
100206A	0.12
100205A	26.0
100203A	n/a
100119A	23.8
100117A	0.3
100115A	~3
100111A	12.9
091221	68.5
091208B	14.9
091208A	29.1
091130B	112.5
091127	7.1
091112	17
091109B	0.3
091109A	48
091104	99.3
091102	6.6
091029	39.2
091026	41.6
091024	109.8
091020	34.6
091018	4.4
090929B	360
090927	2.2
090926B	109.7
090916	63.4
090915	8
090912	144.0
090904B	47.0
090904A	122
090831C	3.3
090827	n/a
090815C	0.6
090814A	80
090813	7.1
090812	66.7
090809	5.4
090807	140.8
090728	59
090727	302
090726	67.0
090720	n/a
090715B	266
090715A	63
090712	145
090709B	27.2
090709A	89
090708	15.0
090628	20.1
090621B	0.14
090621A	n/a
090618	113.2
090607	2.3
090531B	80
090531A	32
090530	48
090529	>100
090520	20
090519	64
090518	6.9
090516A	210
090515	0.036
090510	0.3
090509	335
090429B	5.5
090429A	188
090426	1.2
090424	48
090423	10.3
090422	8.5
090419	450
090418B	65.0
090418A	56
090417B	>260
090417A	0.072
090410	165
090407	310
090404	84
090401B	183
090401A	112
090313	79
090309A	3.0
090308A	48
090307A	22
090306B	20.4
090305A	0.4
090301A	41.0
090205	8.8
090201	83
090129	17.5
090123	131
090118	16
090113	9.1
090111	24.8
090107A	12.2
090102	27.0
081230	60.7
081228	3.0
081226A	0.4
081222	24
081221	34
081211B	n/a
081211A	3.5
081210	146
081203B	23.4
081203A	294
081128	100
081127	37
081126	54
081121	14
081118	67
081109A	190
081104	59.1
081102	63
081101	0.20
081029	270
081028A	260
081025	23
081024A	1.8
081022	160
081017	320
081016B	2.6
081012	29
081011	9
081008	185.5
081007	10.0
080928	280
080919	0.6
080916B	32
080916A	60
080915B	3.9
080915A	14
080913	8
080906	147
080905B	128
080905A	1.0
080903	66
080822B	64
