
Catalog of Globular Cluster Systems in Galaxies

This version:  January 2013

********************************************************************************

                        COPYRIGHT NOTICE!

        THE DATA IN THIS CATALOG ARE SUPPLIED FREE OF CHARGE TO
ALL USERS.  ANY THIRD PARTY WHO SUPPLIES THIS CATALOG IN TURN TO
OTHER USERS MUST REFER TO THE ORIGINAL SOURCE, WHICH IS THIS WEBSITE,
AND MUST DO SO WITHOUT CHARGE OF ANY FEE.

*******************************************************************************

Please acknowledge the use of this catalog in any published work
you derive from it.  The proper citation is the original paper,

	Harris, W.E., Harris, G.L.H, and Alessi, M. 2013, ApJ 772, 82.

 	Explanation of table by column:
1,2:  Galaxy identification
3,4:  Galaxy right ascension (decimal hours) and declination (decimal degrees)
5:     Morphological type
6,7,8:  Galaxy distance, uncertainty, and distance estimation method adopted
9,10,11:  Foreground extinction, absolute visual magnitude, and estimated uncertainty
12,13:  Absolute K-band magnitude (near infrared) and uncertainty
14,15,16:  Estimated total number of globular clusters in the galaxy, uncertainty, and literature source (see reference list following the table)
17,18:  Velocity dispersion of the central bulge of the galaxy, and uncertainty
19,20:  Effective radius enclosing half the galaxy light, and uncertainty
21,22:  "Dynamical mass" of galaxy, defined as  (4 R_e sig_e^2 / G), and uncertainty
23,24:  Calculated total mass in the globular cluster system, and uncertainty
25,26,27:  Mass of central black hole in the galaxy, and upper and lower uncertainties


 Galaxy      Other ID                RA         DEC      Type       D       +-     Method        A_V     M_V^T    +-     M_K      +-       N(GC)     +-    Source      sig_e    +-       R_e     +-    lg M_d     +-     lg M_G    +-    lg M_B    +      -
                                     hr         deg                Mpc                                                                                                 km/s              kpc            M_sun             M_sun           M_sun

MilkyWay         nid                 nd          nd       Sbc       nd      nd    geometry      0.000  -21.300   0.300   nd       nd       160.0    10.0   44         105.00   20.00    0.70    0.10    9.856    0.116    7.66    0.03    6.61    0.04    0.04
FCC-0059        nid               3.4629444  -33.5641667  dE0N    20.00    2.00   Fornax        0.036  -13.130   0.200   nd       nd         0.0     4.0   67           nd      nd      nd      nd      nd       nd       6.21    0.19    nd      nd      nd  
NGC1339        FCC-63             3.4684949  -32.2860655  E4      20.38    0.85   SBF           0.044  -20.010   0.200 -22.858   0.102     231.0    80.0   55         161.20    3.20    1.46    0.06   10.549    0.021    7.74    0.13    nd      nd      nd  
NGC1344        NGC1340            3.4721166  -31.0681243  E5      20.03    1.06   SBF           0.059  -21.180   0.200 -24.116   0.104     280.0   100.0   55         166.00    3.90    2.92    0.15   10.874    0.026    7.90    0.13    nd      nd      nd  
NGC1345          nid              3.4921314  -17.7783902  Sc      19.90    1.40   Hubble        0.125  -17.870   0.220 -20.371   0.131      16.0     8.0   22           nd      nd      1.77    0.12    nd       nd       6.47    0.18    nd      nd      nd  
NGC1351        FCC-83             3.5097147  -34.8540184  E5      31.57    0.08   SBF           0.046  -20.960   0.200 -23.713   0.104     274.0    90.0   55         140.20    3.00    3.70    0.01   10.830    0.013    7.87    0.12    nd      nd      nd  
FCC-90        nid                 3.5189591  -36.2900654  E4      19.45    1.81   SBF           0.033  -17.770   0.200 -19.621   0.156      21.0     7.0   55           nd      nd      0.99    0.09    nd       nd       6.59    0.12    nd      nd      nd  
FCC-95        nid                 3.5235552  -35.3310775  dSB0    19.73    0.67   SBF           0.041  -17.880   0.200 -20.015   0.152      21.0     7.0   55           nd      nd      nd      nd      nd       nd       6.59    0.12    nd      nd      nd  
FCC-100        nid                3.5299027  -35.0518564  dE4     21.96    1.94   SBF           0.039  -17.070   0.200   nd       nd        34.0    12.0   55           nd      nd      nd      nd      nd       nd       6.77    0.13    nd      nd      nd  
FCC-106        nid                3.5465802  -34.2386871  dS0     19.89    0.63   SBF           0.029  -17.490   0.200 -19.478   0.139      15.0     5.0   55           nd      nd      nd      nd      nd       nd       6.43    0.12    nd      nd      nd  
IC1959          nid               3.5535083  -50.4142708  SBsm     6.40    0.30   TRGB          0.030  -16.810   0.200 -17.997   0.113       7.0     3.0   37           nd      nd      0.70    0.07    nd       nd       6.07    0.15    nd      nd      nd  
FCC-119        nid                3.5594152  -33.5732393  S0      20.31    0.96   SBF           0.038  -17.390   0.200   nd       nd        17.0     6.0   55           nd      nd      1.73    0.08    nd       nd       6.48    0.13    nd      nd      nd  
FCC-136        nid                3.5748634  -35.5464872  dE2     19.68    1.04   SBF           0.044  -17.870   0.200 -19.675   0.147      25.0     8.0   55         112.40   22.50    2.23    0.12   10.418    0.110    6.67    0.12    nd      nd      nd  
FCC-146        nid                3.5865600  -35.3229505  dE4N    20.00    2.00   Fornax        0.040  -13.030   0.200   nd       nd         0.6     3.4   67           nd      nd      nd      nd      nd       nd       4.88    0.82    nd      nd      nd  
NGC1374        FCC-147            3.5879390  -35.2263303  E       19.64    0.09   SBF           0.046  -20.430   0.200 -23.309   0.102     360.0    19.0   4          186.40    3.90    2.37    0.01   10.883    0.013    7.96    0.02    nd      nd      nd  
NGC1375        FCC-148            3.5880059  -35.2656207  S0      20.02    0.98   SBF           0.048  -19.160   0.200 -21.905   0.105      86.0    30.0   55/61       66.10    1.70    1.65    0.08    9.826    0.026    7.27    0.13    nd      nd      nd  
FCC-150        nid                3.5900282  -36.3638852  dE4     18.30    2.00   SBF           0.038  -16.470   0.200 -18.283   0.175       9.9     5.3   67          63.00    3.00    nd      nd      nd       nd       6.20    0.19    nd      nd      nd  
ESO-358-G26    FCC-153            3.5919271  -34.4470832  S0      20.78    0.69   SBF           0.039  -19.550   0.200 -22.438   0.103      60.0    20.0   55          64.40    4.40    1.25    0.04    9.684    0.042    7.13    0.12    nd      nd      nd  
ESO-358-G25    FCC-152            3.5925335  -32.4649084  S0-a    18.00    0.45   SBF           0.028  -18.490   0.200 -20.684   0.120      16.0     5.0   55          56.90    2.80    1.43    0.04    9.634    0.031    6.51    0.12    nd      nd      nd  
NGC1379          nid              3.6010630  -35.4411586  E       20.04    1.43   SBF           0.040  -20.640   0.200 -23.276   0.103     225.0    23.0   4          120.10    2.30    2.78    0.20   10.572    0.032    7.77    0.04    nd      nd      nd  
NGC1380        FCC-167            3.6076629  -34.9761257  S0-a    18.86    1.85   SBF           0.058  -21.510   0.240 -24.515   0.102     424.0   100.0   55/58      218.50    4.80    3.39    0.33   11.178    0.042    8.10    0.09    nd      nd      nd  
NGC1381        FCC-170            3.6088084  -35.2952129  S0      18.78    1.76   SBF           0.045  -19.910   0.230 -22.950   0.101      71.0    25.0   55         151.20    2.50    1.13    0.11   10.380    0.042    7.23    0.13    nd      nd      nd  
FCC-174        nid                3.6126008  -33.0148630  dE1N    22.10    1.90   Hubble        0.021  -15.470   0.200   nd       nd         9.9     4.6   67           nd      nd      nd      nd      nd       nd       6.16    0.17    nd      nd      nd  
NGC1380A       FCC-177            3.6131885  -34.7396157  S0      16.89    1.81   SBF           0.049  -18.780   0.270 -21.569   0.106      70.0    25.0   55          54.40    3.70    1.46    0.16    9.605    0.059    7.16    0.13    nd      nd      nd  
FCC-182        nid                3.6150796  -35.3746381  SB0     19.57    0.79   SBF           0.036  -17.570   0.200 -19.855   0.125      59.0    20.0   55          61.60    3.20    1.24    0.05    9.642    0.035    7.03    0.13    nd      nd      nd  
NGC1387        FCC-184            3.6158538  -35.5066275  E/S0    19.82    0.70   SBF           0.042  -20.840   0.200 -24.065   0.102     390.0    27.0   4          170.20   11.80    2.20    0.08   10.774    0.043    8.02    0.03    nd      nd      nd  
FCC-189        nid                3.6189308  -34.7313617  dE4N    20.00    2.00   Fornax        0.038  -13.370   0.200   nd       nd         0.6     4.2   67           nd      nd      nd      nd      nd       nd       4.89    0.90    nd      nd      nd  
NGC1380B       FCC-190            3.6191619  -35.1951049  SB0     22.02    1.14   SBF           0.057  -18.850   0.200 -21.676   0.109     156.0    50.0   55          78.10    2.90    1.63    0.08    9.966    0.031    7.51    0.12    nd      nd      nd  
NGC1389        FCC-193            3.6199172  -35.7460236  SB0     20.87    1.53   SBF           0.035  -20.130   0.210 -22.969   0.102      48.0    16.0   55/61      135.10    6.20    1.52    0.11   10.411    0.040    7.07    0.12    nd      nd      nd  
ESO-358-G42    FCC-203            3.6358844  -34.5185751  dE6     20.69    0.80   SBF           0.032  -16.930   0.200 -18.587   0.231      30.0    10.0   55           nd      nd      1.69    0.06    nd       nd       6.70    0.12    nd      nd      nd  
ESO-358-G43    FCC-204            3.6371175  -33.1272534  dS0     21.08    0.74   SBF           0.029  -17.360   0.200 -19.778   0.151      17.0     6.0   55          67.00    4.00    1.26    0.04    9.722    0.038    6.48    0.13    nd      nd      nd  
NGC1399        FCC-213            3.6414080  -35.4506257  E1      20.68    0.50   SBF           0.043  -22.030   0.200 -25.276   0.104    6000.0   700.0   3/93       337.00   16.00    9.70    0.23   12.011    0.030    9.28    0.05    8.69    0.06    0.07
NGC1404        FCC-219            3.6477546  -35.5942446  E1      20.43    0.40   SBF           0.038  -21.590   0.200 -24.735   0.102     770.0   140.0   29/41/87   234.40    4.20    2.78    0.05   11.153    0.014    8.36    0.07    nd      nd      nd  
NGC1400          nid              3.6585692  -18.6881481  S0      26.42    4.34   SBF           0.214  -21.360   0.200 -24.322   0.102    2960.0   958.0   79         251.50    4.40    3.47    0.57   11.310    0.067    8.93    0.12    nd      nd      nd  
NGC1427A          nid             3.6692548  -35.6245057  Ibsm    16.00    2.00   TRGB          0.033  -18.500   0.200 -17.151   0.279      38.0    15.0   37           nd      nd      2.81    0.30    nd       nd       6.88    0.14    nd      nd      nd  
NGC1407          nid              3.6699637  -18.5803554  E0      28.84    3.67   SBF           0.228  -22.860   0.350 -25.623   0.103    7000.0  2000.0   94         270.60    6.10   10.38    1.32   11.850    0.054    9.40    0.11    nd      nd      nd  
FCC-238        nid                3.6714200  -36.5345990  dE5N    20.00    2.00   Fornax        0.025  -13.470   0.200   nd       nd         2.5     2.5   67           nd      nd      nd      nd      nd       nd       5.51    0.30    nd      nd      nd  
FCC-242        nid                3.6723550  -37.6449010  dE5     20.00    2.00   Fornax        0.039  -14.370   0.200   nd       nd         0.0     3.3   67           nd      nd      nd      nd      nd       nd       5.51    0.30    nd      nd      nd  
FCC-246        nid                3.6771400  -36.1209980  dE2     20.00    2.00   Fornax        0.031  -13.070   0.200   nd       nd         0.0     3.4   67           nd      nd      nd      nd      nd       nd       5.51    0.30    nd      nd      nd  
NGC1419        FCC-249            3.6783714  -37.5108809  E0      20.15    1.84   SBF           0.043  -18.970   0.220 -21.640   0.103     155.0    50.0   55         120.80    2.80    0.85    0.08   10.062    0.040    7.52    0.12    nd      nd      nd  
FCC-254        nid                3.6835593  -35.7425209  dE0N    20.40    2.00   Hubble        0.028  -14.570   0.200   nd       nd         5.6     5.2   67           nd      nd      nd      nd      nd       nd       5.88    0.29    nd      nd      nd  
ESO-358-G50    FCC-255            3.6843403  -33.7794603  S0      19.97    0.63   SBF           0.016  -18.590   0.200 -21.071   0.112      80.0    25.0   55          48.20    7.90    1.25    0.04    9.430    0.091    7.21    0.12    nd      nd      nd  
